# College Hockey News Team Schedule URL Mapping
# Format: Team Name, CHN Schedule URL, Conference
# Based on analysis of https://www.collegehockeynews.com/reports/team

# Atlantic Hockey
Air Force, https://www.collegehockeynews.com/schedules/team/Air-Force/1, Atlantic Hockey
Army, https://www.collegehockeynews.com/schedules/team/Army/6, Atlantic Hockey  
Bentley, https://www.collegehockeynews.com/schedules/team/Bentley/8, Atlantic Hockey
Canisius, https://www.collegehockeynews.com/schedules/team/Canisius/13, Atlantic Hockey
Holy Cross, https://www.collegehockeynews.com/schedules/team/Holy-Cross/23, Atlantic Hockey
Mercyhurst, https://www.collegehockeynews.com/schedules/team/Mercyhurst/28, Atlantic Hockey
Niagara, https://www.collegehockeynews.com/schedules/team/Niagara/39, Atlantic Hockey
RIT, https://www.collegehockeynews.com/schedules/team/RIT/49, Atlantic Hockey
Robert Morris, https://www.collegehockeynews.com/schedules/team/Robert-Morris/50, Atlantic Hockey
Sacred Heart, https://www.collegehockeynews.com/schedules/team/Sacred-Heart/51, Atlantic Hockey

# Big Ten
Michigan, https://www.collegehockeynews.com/schedules/team/Michigan/31, Big Ten
Michigan State, https://www.collegehockeynews.com/schedules/team/Michigan-State/32, Big Ten
Minnesota, https://www.collegehockeynews.com/schedules/team/Minnesota/34, Big Ten
Notre Dame, https://www.collegehockeynews.com/schedules/team/Notre-Dame/43, Big Ten
Ohio State, https://www.collegehockeynews.com/schedules/team/Ohio-State/44, Big Ten
Penn State, https://www.collegehockeynews.com/schedules/team/Penn-State/60, Big Ten
Wisconsin, https://www.collegehockeynews.com/schedules/team/Wisconsin/58, Big Ten

# CCHA
Augustana, https://www.collegehockeynews.com/schedules/team/Augustana/64, CCHA
Bemidji State, https://www.collegehockeynews.com/schedules/team/Bemidji-State/7, CCHA
Bowling Green, https://www.collegehockeynews.com/schedules/team/Bowling-Green/11, CCHA
Ferris State, https://www.collegehockeynews.com/schedules/team/Ferris-State/21, CCHA
Lake Superior, https://www.collegehockeynews.com/schedules/team/Lake-Superior/24, CCHA
Michigan Tech, https://www.collegehockeynews.com/schedules/team/Michigan-Tech/33, CCHA
Minnesota State, https://www.collegehockeynews.com/schedules/team/Minnesota-State/35, CCHA
Northern Michigan, https://www.collegehockeynews.com/schedules/team/Northern-Michigan/42, CCHA
St. Thomas, https://www.collegehockeynews.com/schedules/team/St-Thomas/63, CCHA

# ECAC
Brown, https://www.collegehockeynews.com/schedules/team/Brown/12, ECAC
Clarkson, https://www.collegehockeynews.com/schedules/team/Clarkson/14, ECAC
Colgate, https://www.collegehockeynews.com/schedules/team/Colgate/15, ECAC
Cornell, https://www.collegehockeynews.com/schedules/team/Cornell/18, ECAC
Dartmouth, https://www.collegehockeynews.com/schedules/team/Dartmouth/19, ECAC
Harvard, https://www.collegehockeynews.com/schedules/team/Harvard/22, ECAC
Princeton, https://www.collegehockeynews.com/schedules/team/Princeton/45, ECAC
Quinnipiac, https://www.collegehockeynews.com/schedules/team/Quinnipiac/47, ECAC
Rensselaer, https://www.collegehockeynews.com/schedules/team/Rensselaer/48, ECAC
St. Lawrence, https://www.collegehockeynews.com/schedules/team/St-Lawrence/53, ECAC
Union, https://www.collegehockeynews.com/schedules/team/Union/54, ECAC
Yale, https://www.collegehockeynews.com/schedules/team/Yale/59, ECAC

# Hockey East
Boston College, https://www.collegehockeynews.com/schedules/team/Boston-College/9, Hockey East
Boston University, https://www.collegehockeynews.com/schedules/team/Boston-University/10, Hockey East
Connecticut, https://www.collegehockeynews.com/schedules/team/Connecticut/17, Hockey East
Maine, https://www.collegehockeynews.com/schedules/team/Maine/25, Hockey East
Mass.-Lowell, https://www.collegehockeynews.com/schedules/team/Mass-Lowell/26, Hockey East
Massachusetts, https://www.collegehockeynews.com/schedules/team/Massachusetts/27, Hockey East
Merrimack, https://www.collegehockeynews.com/schedules/team/Merrimack/29, Hockey East
New Hampshire, https://www.collegehockeynews.com/schedules/team/New-Hampshire/38, Hockey East
Northeastern, https://www.collegehockeynews.com/schedules/team/Northeastern/41, Hockey East
Providence, https://www.collegehockeynews.com/schedules/team/Providence/46, Hockey East
Vermont, https://www.collegehockeynews.com/schedules/team/Vermont/55, Hockey East

# NCHC
Arizona State, https://www.collegehockeynews.com/schedules/team/Arizona-State/61, NCHC
Colorado College, https://www.collegehockeynews.com/schedules/team/Colorado-College/16, NCHC
Denver, https://www.collegehockeynews.com/schedules/team/Denver/20, NCHC
Miami, https://www.collegehockeynews.com/schedules/team/Miami/30, NCHC
Minnesota-Duluth, https://www.collegehockeynews.com/schedules/team/Minnesota-Duluth/36, NCHC
Omaha, https://www.collegehockeynews.com/schedules/team/Omaha/37, NCHC
North Dakota, https://www.collegehockeynews.com/schedules/team/North-Dakota/40, NCHC
St. Cloud State, https://www.collegehockeynews.com/schedules/team/St-Cloud-State/52, NCHC
Western Michigan, https://www.collegehockeynews.com/schedules/team/Western-Michigan/57, NCHC

# Independents
Alaska-Anchorage, https://www.collegehockeynews.com/schedules/team/Alaska-Anchorage/3, Independent
Alaska, https://www.collegehockeynews.com/schedules/team/Alaska/4, Independent
Lindenwood, https://www.collegehockeynews.com/schedules/team/Lindenwood/433, Independent
Long Island, https://www.collegehockeynews.com/schedules/team/Long-Island/62, Independent
Stonehill, https://www.collegehockeynews.com/schedules/team/Stonehill/422, Independent

# Notes:
# - URLs follow pattern: https://www.collegehockeynews.com/schedules/team/[TeamName]/[ID]
# - Team IDs have been verified
# - Some team name mappings may need adjustment (e.g., "Mass.-Lowell" vs "UMass Lowell"), aliases may be required
